mref;description;category;color;composition;sku;stock;size;image;price
72136;Vestido Malha Estampado;VESTIDO;Pink;100,00% POLIESTER;72136-M-PINK;10;M;72136PINK.jpg; R$ 40,00 
70338;T-Shirt Manga Curta;T-SHIRT;Magenta;  6,00% ELASTANO   31,00% POLIESTER   63,00% VISCOSE;70338-P-MAGENTA;12;P;70338MAGENTA.jpg; R$ 24,90 
70338;T-Shirt Manga Curta;T-SHIRT;Magenta;  6,00% ELASTANO   31,00% POLIESTER   63,00% VISCOSE;70338-M-MAGENTA;8;M;70338MAGENTA.jpg; R$ 24,90 
70338;T-Shirt Manga Curta;T-SHIRT;Magenta;  6,00% ELASTANO   31,00% POLIESTER   63,00% VISCOSE;70338-G-MAGENTA;7;G;70338MAGENTA.jpg; R$ 24,90 
75120;Short;SHORT;Preto; 97,00% ALGODAO    3,00% ELASTANO;75120-38-PRETO;3;38;75120PRETO.jpg; R$ 29,90 
75120;Short;SHORT;Preto; 97,00% ALGODAO    3,00% ELASTANO;75120-40-PRETO;2;40;75120PRETO.jpg; R$ 29,90 
75120;Short;SHORT;Nude; 97,00% ALGODAO    3,00% ELASTANO;75120-36-NUDE;1;36;75120NUDE.jpg; R$ 29,90 
75120;Short;SHORT;Nude; 97,00% ALGODAO    3,00% ELASTANO;75120-38-NUDE;11;38;75120NUDE.jpg; R$ 29,90 
75120;Short;SHORT;Nude; 97,00% ALGODAO    3,00% ELASTANO;75120-40-NUDE;12;40;75120NUDE.jpg; R$ 29,90 
75120;Short;SHORT;Nude; 97,00% ALGODAO    3,00% ELASTANO;75120-42-NUDE;2;42;75120NUDE.jpg; R$ 29,90 
75120;Short;SHORT;Caramelo; 97,00% ALGODAO    3,00% ELASTANO;75120-36-CARAMELO;4;36;75120CARAMELO.jpg; R$ 29,90 
75120;Short;SHORT;Caramelo; 97,00% ALGODAO    3,00% ELASTANO;75120-38-CARAMELO;3;38;75120CARAMELO.jpg; R$ 29,90 
75120;Short;SHORT;Caramelo; 97,00% ALGODAO    3,00% ELASTANO;75120-40-CARAMELO;19;40;75120CARAMELO.jpg; R$ 29,90 
75120;Short;SHORT;Caramelo; 97,00% ALGODAO    3,00% ELASTANO;75120-42-CARAMELO;15;42;75120CARAMELO.jpg; R$ 29,90 
75129;Short Plano Renda;SHORT;Pink;100,00% POLIAMIDA;75129-36-PINK;2;36;75129PINK.jpg; R$ 29,90 
75129;Short Plano Renda;SHORT;Pink;100,00% POLIAMIDA;75129-38-PINK;8;38;75129PINK.jpg; R$ 29,90 
75129;Short Plano Renda;SHORT;Pink;100,00% POLIAMIDA;75129-40-PINK;5;40;75129PINK.jpg; R$ 29,90 
75129;Short Plano Renda;SHORT;Pink;100,00% POLIAMIDA;75129-42-PINK;5;42;75129PINK.jpg; R$ 29,90 
75130;Short;SHORT;Preto; 42,00% ALGODAO    3,00% ELASTANO   55,00% POLIESTER;75130-40-PRETO;8;40;75130PRETO.jpg; R$ 25,00 
75130;Short;SHORT;Preto; 42,00% ALGODAO    3,00% ELASTANO   55,00% POLIESTER;75130-42-PRETO;4;42;75130PRETO.jpg; R$ 25,00 
75130;Short;SHORT;Coral; 42,00% ALGODAO    3,00% ELASTANO   55,00% POLIESTER;75130-42-CORAL;1;42;75130CORAL.jpg; R$ 25,00 
75131;Short;SHORT;Preto; 97,00% ALGODAO    3,00% ELASTANO;75131-34-PRETO;1;34;75131PRETO.jpg; R$ 25,00 
75131;Short;SHORT;Preto; 97,00% ALGODAO    3,00% ELASTANO;75131-38-PRETO;43;38;75131PRETO.jpg; R$ 25,00 
